Z1mass,Z2mass,pt4l,eta4l,massjj,detajj,HT,dRZ1Z2,target
90.97,28.69,84.92,1.2429999999999999,355.0,3.457,217.7,0.7728,1.0
91.32,31.92,23.39,-2.193,292.7,3.457,105.6,1.479,1.0
84.61,30.84,173.5,-0.9454,1024.0,4.23,263.9,0.4409,1.0
68.51,36.23,162.1,-1.906,3034.0,6.825,317.2,0.8024,1.0
93.68,27.05,60.83,-1.7919999999999998,356.2,2.97,155.4,1.0,1.0
91.02,19.87,152.7,-0.8895,37.33,0.1864,159.1,0.7356,0.0
47.62,29.0,114.8,-1.9269999999999998,642.8,3.795,303.2,1.46,1.0
88.98,14.07,154.0,1.421,72.05,0.2468,361.7,0.9435,0.0
90.59,14.21,49.42,1.197,613.2,5.532,125.7,1.7790000000000001,1.0
90.38,28.53,230.1,-1.147,1858.0,5.531000000000001,334.5,0.2265,1.0
90.4,28.91,66.25,0.3728,63.43,1.1740000000000002,66.36,0.926,0.0
90.6,20.25,131.7,-1.433,538.1,4.421,126.2,1.6219999999999999,1.0
94.1,27.44,108.2,0.6288,569.4,3.534,195.4,0.5966,1.0
87.38,21.58,47.32,2.19,160.8,3.242,64.07,1.8419999999999999,0.0
90.36,19.87,136.0,-0.9954,491.9,0.8504,511.8,0.486,0.0
89.56,12.43,88.17,0.8941,1563.0,5.1770000000000005,308.7,2.951,1.0
79.78,35.29,102.6,-2.22,729.8,5.608,92.2,0.9079,0.0
89.14,15.54,79.25,-1.848,1040.0,5.437,149.4,2.2030000000000003,1.0
87.63,35.65,102.2,-1.6280000000000001,445.8,4.274,105.7,0.2475,0.0
74.01,13.88,105.1,1.925,93.16,2.221,68.36,2.967,0.0
86.61,32.89,113.9,-0.5228,218.3,2.221,175.1,0.5525,0.0
90.42,29.61,64.86,1.84,75.01,1.3869999999999998,83.43,1.041,0.0
91.12,18.71,76.24,1.035,1379.0,6.707000000000001,100.1,2.303,1.0
92.82,26.37,137.9,-1.13,122.7,1.002,160.9,0.4281,0.0
69.56,39.64,169.1,0.337,523.9,2.78,265.1,0.154,0.0
98.85,25.48,69.96,-1.4809999999999999,145.2,1.8619999999999999,129.5,0.2998,0.0
91.1,22.4,192.6,0.9097,146.7,0.502,219.3,0.4387,0.0
65.42,14.5,71.09,-1.35,150.5,1.534,121.2,2.281,1.0
90.67,32.03,85.49,-0.4837,1183.0,5.817,129.3,0.6966,1.0
89.83,16.83,18.6,0.7974,1857.0,6.343,187.1,3.3960000000000004,1.0
80.29,31.82,52.09,1.604,438.4,5.442,86.35,1.6059999999999999,1.0
90.58,25.4,171.1,-0.197,279.5,2.3569999999999998,381.7,0.6725,0.0
73.66,41.87,164.8,-0.1769,641.1,4.147,220.1,0.596,1.0
88.93,32.56,126.9,0.2272,448.0,4.053,135.5,0.5164,1.0
79.49,26.08,93.64,0.9134,112.4,2.351,75.85,0.709,1.0
